"text_sha256","english","mr","hi","attention_flags","same_as_english_languages","formerly_missing_technical_literals","current_technical_literal_status","current_heuristic_false_positive","safe_literal_operations","semantic_correction","decision","reviewer","occurrences","first_path","first_line","first_kind"
"c24d50c6e956930478448e49d4c39a311d845aea4b0bd2b0355e912975294cd5","Reconciliation","ताळमेळ","मिलान","semantic-wording-correction","","","","","","yes","pending-fluent-review","","1","www/index.html","4322","element:summary"
"0f485ce91ea59eefa46149a12e18b324a9f67116557e9abe3b54fc80610a8f4f","Type to search — name, number or ID…","शोधण्यासाठी टाइप करा — नाव, क्रमांक किंवा ID…","खोजने के लिए टाइप करें - नाम, नंबर या ID...","formerly-missing-technical-literal","","hi:ID; mr:ID","compliant-after-pre-review-corrections","","","","pending-fluent-review","","1","www/index.html","4999","attribute:placeholder"
"328587d2fef3df370487b11f6275fdb9ad3d51bc0fbb7d69c29a0662357ba3fd","Share blocked — fresh owner export approval is required.","शेअर करणे अवरोधित आहे — मालकाची नवीन निर्यात मंजुरी आवश्यक आहे.","शेयर करना अवरुद्ध है — मालिक की नई निर्यात मंज़ूरी आवश्यक है।","semantic-wording-correction","","","","","","yes","pending-fluent-review","","1","www/index.html","5170","script-message"
"1e6ed3cc912e4ef7c7347ea6344b8177785e56fbcce16fa1de9d522c6c7bf4ee","Un-archive: re-enable sign-in. Owner re-sets their PIN.","संग्रहण रद्द करा: साइन-इन पुन्हा-सक्षम करा. मालक त्यांचा PIN पुन्हा सेट करतो.","अन-संग्रह: साइन-इन पुनः सक्षम करें। स्वामी अपना PIN पुनः सेट करता है.","formerly-missing-technical-literal","","hi:PIN; mr:PIN","compliant-after-pre-review-corrections","","","","pending-fluent-review","","1","www/index.html","5521","attribute:title"
"22a7f917e84f5a832e9532c72267a9c9f55934799f5d6cefb7706508228fb3a5","Remove the old daily backups from the shared Documents/SaagarBCC-Backups/ folder? This deletes ONLY the auto-backup files (backup-*.json, latest.json) — your pre-reset safety backups and archived record exports are NOT touched. Confirm you have a fresh off-device backup (Back up → Share to Drive) first.","शेअर केलेल्या Documents/SaagarBCC-Backups/फोल्डरमधून जुने दैनिक बॅकअप काढायचे? हे केवळ स्वयं-बॅकअप फायली हटवते (backup-*.json, latest.json) — तुमचे पूर्व-रीसेट सुरक्षा बॅकअप आणि संग्रहित रेकॉर्ड निर्यात यांना स्पर्श केला जात नाही. तुमच्याकडे नवीन ऑफ-डिव्हाइस बॅकअप असल्याची खात्री करा (बॅक अप → ड्राइव्हवर शेअर करा).","साझा Documents/SaagarBCC-Backups/फ़ोल्डर से पुराने दैनिक बैकअप हटाएं? यह केवल ऑटो-बैकअप फ़ाइलें (backup-*.json, latest.json) हटाता है - आपके पूर्व-रीसेट सुरक्षा बैकअप और संग्रहीत रिकॉर्ड निर्यात को छुआ नहीं जाता है। पहले पुष्टि करें कि आपके पास ताज़ा ऑफ-डिवाइस बैकअप (बैकअप → ड्राइव पर साझा करें) है।","safe-literal-preservation","","","","","3","","pending-fluent-review","","1","www/index.html","6037","script-message"
"c284add35e04bbc4335fc1839f249b0bd21d2bdad5bb9f55f664f1279cac4350","This is an older unencrypted backup. Only continue if you created it and trust where it came from. New portable backups use the encrypted .sccbak format.","हा जुना अनएनक्रिप्ट केलेला बॅकअप आहे. तुम्ही ते तयार केले आणि ते कुठून आले यावर विश्वास ठेवला तरच सुरू ठेवा. नवीन पोर्टेबल बॅकअप एनक्रिप्टेड .sccbak फॉरमॅट वापरतात.","यह एक पुराना अनएन्क्रिप्टेड बैकअप है. केवल तभी जारी रखें जब आपने इसे बनाया हो और भरोसा करें कि यह कहाँ से आया है। नए पोर्टेबल बैकअप एन्क्रिप्टेड .sccbak प्रारूप का उपयोग करते हैं।","safe-literal-preservation;current-heuristic-false-positive-review","","","","hi:phrase-regex:false-positive-literal-.sccbak-present; mr:phrase-regex:false-positive-literal-.sccbak-present","1","","pending-fluent-review","","1","www/index.html","6109","script-message"
"072604a1c8d82f5a3ca58984c4c54e93bc8bffcf32ec4a614f19d2f22e616e94","Restore engine unavailable. Nothing changed.","पुनर्स्थापना इंजिन उपलब्ध नाही. कोणताही बदल झालेला नाही.","पुनर्स्थापना इंजन उपलब्ध नहीं है। कोई बदलाव नहीं हुआ।","semantic-wording-correction","","","","","","yes","pending-fluent-review","","1","www/index.html","6210","script-message"
"85239c3c4e0124c9781205134f4e37272536bd1a6aa7ec83e925b36ac3541710","Restore verified. Review the control totals.","पुनर्स्थापना सत्यापित झाली. नियंत्रण बेरजांचे पुनरावलोकन करा.","पुनर्स्थापना सत्यापित हो गई। नियंत्रण योगों की समीक्षा करें।","semantic-wording-correction","","","","","","yes","pending-fluent-review","","1","www/index.html","6280","script-message"
"a66ac1ceb511a24f339b94822c39b7cc39a44811804c6403d53cb350c3957c1d","Acceptance could not be saved. Free device space and retry.","स्वीकृती जतन करता आली नाही. डिव्हाइसवरील जागा मोकळी करून पुन्हा प्रयत्न करा.","स्वीकृति सहेजी नहीं जा सकी। डिवाइस में जगह खाली करके फिर प्रयास करें।","semantic-wording-correction","","","","","","yes","pending-fluent-review","","1","www/index.html","6310","script-message"
"1c020e769c6f4d5b6f78894c38216e27dd33101e7a939d334848338c06214f4a","Factory reset is blocked because this device has no accepted restore test. First restore a current encrypted .sccbak backup, review its control totals, and accept them. Then return here. This proves the rollback path works before data is deleted.","फॅक्टरी रीसेट अवरोधित केले आहे कारण या डिव्हाइसची पुनर्संचयित चाचणी स्वीकारलेली नाही. प्रथम वर्तमान कूटबद्ध केलेला .sccbak बॅकअप पुनर्संचयित करा, त्याच्या नियंत्रण बेरीजचे पुनरावलोकन करा आणि ते स्वीकारा. मग इथे परत. हे सिद्ध करते की डेटा हटवण्यापूर्वी रोलबॅक मार्ग कार्य करतो.","फ़ैक्टरी रीसेट अवरुद्ध है क्योंकि इस डिवाइस में कोई स्वीकृत पुनर्स्थापना परीक्षण नहीं है। सबसे पहले वर्तमान एन्क्रिप्टेड .sccbak बैकअप को पुनर्स्थापित करें, इसके नियंत्रण योग की समीक्षा करें और उन्हें स्वीकार करें। फिर यहीं लौट आओ. यह साबित करता है कि रोलबैक पथ डेटा हटाए जाने से पहले काम करता है।","safe-literal-preservation;current-heuristic-false-positive-review","","","","hi:phrase-regex:false-positive-literal-.sccbak-present; mr:phrase-regex:false-positive-literal-.sccbak-present","1","","pending-fluent-review","","1","www/index.html","6364","script-message"
"949fe4383dc6612e1d1c390d3a8c676caaabb45055bc1a4fd0d9d4297ab24aa1","Factory reset ABORTED because the encrypted ETP store could not be cleared. No app reload was started.","फॅक्टरी रीसेट रद्द केले कारण एनक्रिप्ट केलेले ETP स्टोअर साफ करता आले नाही. कोणतेही ॲप रीलोड सुरू झाले नाही.","फ़ैक्टरी रीसेट निरस्त कर दिया गया क्योंकि एन्क्रिप्टेड ETP स्टोर साफ़ नहीं किया जा सका। कोई ऐप पुनः लोड प्रारंभ नहीं किया गया था.","formerly-missing-technical-literal","","hi:ETP","compliant-after-pre-review-corrections","","","","pending-fluent-review","","1","www/index.html","6458","script-message"
