"english","mr","hi","decision","reviewer","occurrences","first_path","first_line","first_kind","text_sha256"
"cross-checks","उलट तपासणी","क्रॉस-चेक","translate","sagarbora91","1","www/index.html","4322","element:summary","ce3d05e4743923f5da98f978c9a8ef6a5e5c9ed06bf3c4da9e253d3532ecafb8"
"Reconciliation","ताळमेळ","मिलान","translate","sagarbora91","1","www/index.html","4322","element:summary","c24d50c6e956930478448e49d4c39a311d845aea4b0bd2b0355e912975294cd5"
"Source A","स्रोत ए","स्रोत ए","translate","sagarbora91","1","www/index.html","4325","element:th","f72338465fc2cf2f1a63981f0288d2085e08249261311bb68a20a021db354f06"
"Source B","स्रोत बी","स्रोत बी","translate","sagarbora91","1","www/index.html","4325","element:th","6f0f415dec910c547a8d03223d224bdcca7f0fd6b96cac66b5552d103e35307e"
"recent cross-module flow","अलीकडील क्रॉस-मॉड्यूल प्रवाह","हालिया क्रॉस-मॉड्यूल प्रवाह","translate","sagarbora91","1","www/index.html","4330","element:summary","e8292180404bf0e4140496f21a83eb0780a056dfc5c3e67c7e7606a6542d2884"
"Sync activity","समक्रमण क्रियाकलाप","सिंक गतिविधि","translate","sagarbora91","1","www/index.html","4330","element:summary","eb7e28e47476057990ac3515f9f399113c92f9a1b3e22a8f2951dfa4fdf63332"
"Copied to clipboard","क्लिपबोर्डवर कॉपी केले","क्लिपबोर्ड पर कॉपी किया गया","translate","sagarbora91","1","www/index.html","4337","script-message","d37078fe6a1faa15fc48c293dd1d4c37698eb0cfafae8ca1c456b0cc4600db11"
"Copy not supported","कॉपी समर्थित नाही","प्रतिलिपि समर्थित नहीं है","translate","sagarbora91","1","www/index.html","4339","script-message","075b8c67cc57bfc5ff780e21dd4e460ac4c4d801af43aa07f3ca7b547e0dd827"
"No WhatsApp messages available yet","अद्याप कोणतेही WhatsApp संदेश उपलब्ध नाहीत","अभी तक कोई व्हाट्सएप संदेश उपलब्ध नहीं है","translate","sagarbora91","1","www/index.html","4942","script-message","23cd9cf85b3ff40169345005207a414782f2bf9f08ad85e4a81f834185042ed3"
"Message","संदेश","संदेश","translate","sagarbora91","1","www/index.html","4960","element:label","2f77668a9dfbf8d5848b9eeb4a7145ca94c6ed9236e4a773f6dcafa5132b2f91"
"Preview (edit before sending)","पूर्वावलोकन (पाठवण्यापूर्वी संपादित करा)","पूर्वावलोकन (भेजने से पहले संपादित करें)","translate","sagarbora91","1","www/index.html","4961","element:label","9304bce26d2c92570fbcae6c81efdd38f65e89544eb3169152de8f95a434d071"
"Recipient","प्राप्तकर्ता","प्राप्तकर्ता","translate","sagarbora91","1","www/index.html","4992","element:label","51fac985e95345d90b3c8a69f5e60003cbbd47a06efdcf0270d76be85b408657"
"Recipient / record","प्राप्तकर्ता / रेकॉर्ड","प्राप्तकर्ता/रिकॉर्ड","translate","sagarbora91","1","www/index.html","4998","element:label","68854ae3a1c58674e36db07f6aa8e7ffa088b0a09bba394c4091d2d682d1d21b"
"Type to search — name, number or ID…","शोधण्यासाठी टाइप करा — नाव, क्रमांक किंवा ID…","खोजने के लिए टाइप करें - नाम, नंबर या ID...","translate","sagarbora91","1","www/index.html","4999","attribute:placeholder","0f485ce91ea59eefa46149a12e18b324a9f67116557e9abe3b54fc80610a8f4f"
"No matching records","कोणतेही जुळणारे रेकॉर्ड नाहीत","कोई मेल खाता रिकॉर्ड नहीं","translate","sagarbora91","1","www/index.html","5034","element:option","4f36612ecc081b9b7c7b6b49137b8ebbc52ce27adaa9fc06866f9f99184bd363"
"Nothing to send — pick a record and message","पाठवण्यासाठी काहीही नाही — रेकॉर्ड आणि संदेश निवडा","भेजने के लिए कुछ नहीं - एक रिकॉर्ड और संदेश चुनें","translate","sagarbora91","1","www/index.html","5056","script-message","278a7666b3683101644a42829300db8dc41a7a4e822c4bb9437d5313c5bee313"
"File downloaded","फाइल डाउनलोड केली","फ़ाइल डाउनलोड हो गई","translate","sagarbora91","1","www/index.html","5157","script-message","1c26d0ce7773244eb8e7d98c553c5949a5aa762a7eb96363eae533b3c5cde3c4"
"Saved as text file","मजकूर फाइल म्हणून जतन","पाठ फ़ाइल के रूप में सहेजा गया","translate","sagarbora91","1","www/index.html","5160","script-message","70d7a9c260782c18a75e271f1091bb276ed1ab003bb38b265a33222560ae3b2a"
"Share blocked — fresh owner export approval is required.","शेअर करणे अवरोधित आहे — मालकाची नवीन निर्यात मंजुरी आवश्यक आहे.","शेयर करना अवरुद्ध है — मालिक की नई निर्यात मंज़ूरी आवश्यक है।","translate","sagarbora91","1","www/index.html","5170","script-message","328587d2fef3df370487b11f6275fdb9ad3d51bc0fbb7d69c29a0662357ba3fd"
"WhatsApp could not be opened.","WhatsApp उघडता आले नाही.","व्हाट्सएप नहीं खुल सका.","translate","sagarbora91","1","www/index.html","5463","script-message","eae39e6d674207806ee6b41694d2e62ef6bdd8bc3196532f2d339c4a21d78d8d"
"Dept","विभाग","विभाग","translate","sagarbora91","1","www/index.html","5505","element:th","1b2d7344da44727407be5522c67d5e62191bb40768c5422b0a278fe0023f1f29"
"Un-archive: re-enable sign-in. Owner re-sets their PIN.","संग्रहण रद्द करा: साइन-इन पुन्हा-सक्षम करा. मालक त्यांचा PIN पुन्हा सेट करतो.","अन-संग्रह: साइन-इन पुनः सक्षम करें। स्वामी अपना PIN पुनः सेट करता है.","translate","sagarbora91","1","www/index.html","5521","attribute:title","1e6ed3cc912e4ef7c7347ea6344b8177785e56fbcce16fa1de9d522c6c7bf4ee"
"Name cannot be blank","नाव रिक्त असू शकत नाही","नाम रिक्त नहीं हो सकता","translate","sagarbora91","1","www/index.html","5592","script-message","b2e29ddbb5cc7555cbe1e412756ad9885d5f69c3c607b0bd4ca47167bd60f9e1"
"No employees selected","कोणतेही कर्मचारी निवडले नाहीत","कोई कर्मचारी चयनित नहीं","translate","sagarbora91","1","www/index.html","5655","script-message","f483d893b67f6e75890068b390277a5986249f6cfc25d7afec146511c32250bd"
"Recovery passphrase must be at least 12 characters.","पुनर्प्राप्ती सांकेतिक वाक्यांश किमान 12 वर्णांचा असणे आवश्यक आहे.","पुनर्प्राप्ति पासफ़्रेज़ कम से कम 12 अक्षर का होना चाहिए.","translate","sagarbora91","1","www/index.html","5689","script-message","59c61084929292b23abcf67591b4f26faf5575b11537b0faeaa97b0724218be5"
"Passphrases did not match. Backup was not created.","सांकेतिक वाक्यांश जुळले नाहीत. बॅकअप तयार केला नाही.","पासफ़्रेज़ मेल नहीं खाते. बैकअप नहीं बनाया गया.","translate","sagarbora91","1","www/index.html","5694","script-message","54f9a7e0b44364eccf815bd028c72d8bcdc87721f3564fd1965432da4de65692"
