row_id,english,marathi_machine_draft,hindi_machine_draft,category,source,safe_literal,preserved_literals,decision,reviewer,source_commit,english_sha256,row_sha256,machine_draft_provider
ETP-L10N-001,Retail ETP Reports,किरकोळ ETP अहवाल,खुदरा ETP रिपोर्ट,static-title,www/modules/etp/index.html,yes,ETP,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,087ddc6b98ee62204d95c02ccb0704f7caffe8800d6fcae4e3a272487ede5279,e0d92c82e53dda08235cd45138cc3680e1a61475239bbffcbad061608e3ae591,google-translate-connected-draft
ETP-L10N-002,REPORTS · RETAIL ETP,अहवाल · रिटेल ETP,रिपोर्ट · खुदरा ETP,static-kicker,www/modules/etp/index.html,yes,ETP,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,d6013871d642a240c9651f0e75d21664e106a2845dc09dde55ac12f814775b3a,43ab9c6163156c463502fbacdf9574ecc2ae469fc08351edf0d9d5f14398e003,google-translate-connected-draft
ETP-L10N-003,Verified Retail reports,सत्यापित किरकोळ अहवाल,सत्यापित खुदरा रिपोर्ट,static-heading,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,94df23e7852b9caf1e56e28b0ec0f6c644e708a29add83608316381f6acb5093,0102ad6fbab72502ee5f462aa5e4281a7ca9b3836e828ec7fc4e77f4074d09cb,google-translate-connected-draft
ETP-L10N-004,WLMHW and HEMW · encrypted on-device facts · read-only reporting shell,WLMHW आणि HEMW · एंक्रिप्टेड ऑन-डिव्हाइस तथ्ये · केवळ-वाचनीय रिपोर्टिंग शेल,WLMHW और HEMW · एन्क्रिप्टेड ऑन-डिवाइस तथ्य · रीड-ओनली रिपोर्टिंग शेल,static-description,www/modules/etp/index.html,yes,HEMW;WLMHW,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,29f2982700c28941972d227d2aec1571a609a6bdab3e385a2e4e75a46723d7cd,b1da18adb7dfdfd1113f7e2d785447786d134d7f5c6398255f97462b98e5c7f3,google-translate-connected-draft
ETP-L10N-005,Retail ETP sections,किरकोळ ETP विभाग,खुदरा ETP अनुभाग,static-accessibility,www/modules/etp/index.html,yes,ETP,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,10bc2d4996048336f9a9870e93e335a5ca70d7c5a27474fb4ab47e8e5edca4cd,ac22f5767d88c20226210fdfc8ffe0b179feb8f8336e975297ccd11e4de19a0e,google-translate-connected-draft
ETP-L10N-006,Import,आयात करा,आयात,static-control,www/modules/etp/index.html,no,,approved-not-imported-shared-phrase,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,2cff9baabf56ca002610e113bc94deb6ededddfc3c130365b6e88ed5195bf774,300b16083fc3d57c7cd04efa72f4a87992bc3c72054357b62272e4b853da1efa,google-translate-connected-draft
ETP-L10N-007,Verified Reports,सत्यापित अहवाल,सत्यापित रिपोर्ट,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,c855165f5e2d3146efb560042971de63f47e1e724d61a534da8b3a7441d21a18,ab5f6aed3e989342592a1446dbb811335d63d6b54638a872191d0f22f4bbfecf,google-translate-connected-draft
ETP-L10N-008,Scope,व्याप्ती,दायरा,static-label,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,b073f6c68ef8721107fd9815b19b2c35ec111d526b75c2123d1111ba64424000,356534f0e7b3d2874f684208d6bb2bf7c212e1b6585b1a97a626919913fbfe35,google-translate-connected-draft
ETP-L10N-009,Coverage & History,कव्हरेज आणि इतिहास,कवरेज और इतिहास,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,0dbae6f3cea2f9b1e9dbca6e98f52a204a9d6f48681d4a82d31ecb01fdee3f90,a1708c0a8749a03e0e1166bf1b3af02e6b0484f892444e64773ef04e1101e64f,google-translate-connected-draft
ETP-L10N-010,Reconciliation & Exceptions,ताळमेळ आणि अपवाद,मिलान और अपवाद,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,a20b01f5718643d8b38588f0a8dd06e85b94b0d655a3f60e98a055e7da52b199,69ce41e5e09139f281ed20f09b15625022316289fe6a77b7c342d5836f9e46fe,google-translate-connected-draft
