"english","mr","hi","decision","reviewer","occurrences","first_path","first_line","first_kind","text_sha256"
"Call","कॉल करा","कॉल करें","translate","sagarbora91","5","www/index.html","3625","element:a","d6e645b7d2b2da646d44130464143171935ffa47558b4e36c05df175de7197ba"
"Accounts / Owner only","खाती / फक्त मालकासाठी","खाते / केवल मालिक के लिए","translate","sagarbora91","4","www/modules/expense/index.html","1402","script-message","243292dd4b539ad39fba86b9fa622ddaedb3331a09d968eb9013e8f6f96ec5f1"
"Half","अर्धा दिवस","आधा दिन","translate","sagarbora91","4","www/modules/payroll/index.html","1078","element:th","8082c15cbfa7f886116d3bc4e17b24392e89601d592651f7333780f26c50bebb"
"Select an employee (add one in Employee Master first).","कर्मचारी निवडा (प्रथम कर्मचारी मास्टरमध्ये कर्मचारी जोडा).","कर्मचारी चुनें (पहले कर्मचारी मास्टर में कर्मचारी जोड़ें)।","translate","sagarbora91","4","www/modules/payroll/index.html","2942","script-message","d241c9d04691908838b8fbe0c20980439d08676322f331aa1f1275ca61a3b24f"
"Reason detail (required for Other)","कारणाचे तपशील (इतर निवडल्यास आवश्यक)","कारण का विवरण (अन्य चुनने पर आवश्यक)","translate","sagarbora91","4","www/modules/qms/index.html","1427","element:label","1bd227ceabb580f2c772277e18fe329ba3dab6798397810121ac7b965249bbba"
"The selected follow-up is no longer available.","निवडलेला फॉलो-अप आता उपलब्ध नाही.","चयनित फॉलो-अप अब उपलब्ध नहीं है।","translate","sagarbora91","4","www/modules/qms/index.html","1567","script-message","8c4e5ccc70ace36ab7c5c18cc7ad4ee268207f18ea4956e3b84ffd74483ca4ef"
"🔒 Viewing a past date (","🔒 मागील तारीख पाहत आहात (","🔒 पिछली तारीख देख रहे हैं (","translate","sagarbora91","4","www/modules/tax/index.html","3267","script-message","d38f4a82d6977fa02bf4a1db544f6a945de102baa9c2faae3995f00a92deac7b"
"Too many wrong PINs — try again in","खूप वेळा चुकीचा PIN टाकला — पुन्हा प्रयत्न करण्यासाठी","बहुत बार गलत PIN डाला — फिर प्रयास करने के लिए","translate","sagarbora91","3","www/index.html","1660","script-message","edadd6c162ec459232976e4fa9be54177c3a9c324b74776ed1ca752fa7db364c"
"Too many wrong PINs - try again in","खूप वेळा चुकीचा PIN टाकला - पुन्हा प्रयत्न करण्यासाठी","बहुत बार गलत PIN डाला - फिर प्रयास करने के लिए","translate","sagarbora91","3","www/index.html","2145","script-message","b294b3919c22e4c7b5525891c6541b91bfc9e4a9978170b731893cf684b9f00d"
"Deactivate Activate","निष्क्रिय करा सक्रिय करा","निष्क्रिय करें सक्रिय करें","translate","sagarbora91","3","www/index.html","5522","element:button","ad40b34c4d1e1ac6b6fe8f97e9e130b1dde81428d52cc47bcdf0eb585373828f"
"NPS Surveys / Month","NPS सर्वेक्षणे / महिना","NPS सर्वेक्षण / माह","translate","sagarbora91","3","www/modules/cro_audit/index.html","916","element:label","ad5eaae1575eb3f7af2087c81d63061b0337fb7bba27ad247ad2a16965bb1901"
"Marketing Activities / Month","विपणन उपक्रम / महिना","विपणन गतिविधियाँ / माह","translate","sagarbora91","3","www/modules/cro_audit/index.html","940","element:label","42e70243ca0c2c1ea09cefe2c09ef29a727176d11e58d0625b709d0829242590"
"Enter an amount greater than 0","0 पेक्षा जास्त रक्कम टाका","0 से अधिक राशि दर्ज करें","translate","sagarbora91","3","www/modules/expense/index.html","1148","script-message","1894d18db8c4d22e34af619fcb84fed1ca919eeed9d03b12f12437e89848244a"
"Day locked — reopen first","दिवस लॉक आहे — आधी पुन्हा उघडा","दिन लॉक है — पहले दोबारा खोलें","translate","sagarbora91","3","www/modules/expense/index.html","1178","script-message","fc619ec9642716084bbfcf91ab592230cf8dbe4f072ab811b5b72f6a98bd650b"
"Override reason is required","बदलाचे कारण आवश्यक आहे","ओवरराइड का कारण आवश्यक है","translate","sagarbora91","3","www/modules/expense/index.html","1487","script-message","8106b1d573a3c40a545ec0fed2e544c0e7af70480f825666c51274b0933e5f52"
"Owner only","फक्त मालकासाठी","केवल मालिक के लिए","translate","sagarbora91","3","www/modules/expense/index.html","2103","script-message","55a834c80aa90548bfe1e462740b56047b5610bceb130de8720ca6d92dbb5a5d"
"Ded.","कपात","कटौती","translate","sagarbora91","3","www/modules/payroll/index.html","1079","element:th","70175da1280148b8e7993c9d0fcc6046552e73e088e077d5be495037cfe43552"
"Present","उपस्थित","उपस्थित","translate","sagarbora91","3","www/modules/payroll/index.html","1083","element:th","43f9b89c0b9d22d8110ead813ea3949f20592a8bfc3c777d2d49e64da3b0cc9b"
"OT","जादा वेळ","ओवरटाइम","translate","sagarbora91","3","www/modules/payroll/index.html","1086","element:th","c2d4fe38448be66bac6fa893253b1618eb223f5dc1bc10d6f6ff8d2fb686f00e"
"PF","भविष्य निर्वाह निधी","भविष्य निधि","translate","sagarbora91","3","www/modules/payroll/index.html","1178","element:th","82cedb1154a1ee7a7b5ed5981f2205723406eb7f9b0fcf6bea9734f8a9624819"
"Parent / lawful guardian","पालक / कायदेशीर संरक्षक","माता-पिता / कानूनी अभिभावक","translate","sagarbora91","3","www/modules/qms/index.html","903","attribute:placeholder","87aa63a2193376aac5f1cd678ae404e78c46b70ee65600681d90cd3ffaea4421"
"Today's rotation is no longer active.","आजचे रोटेशन आता सक्रिय नाही.","आज का रोटेशन अब सक्रिय नहीं है।","translate","sagarbora91","3","www/modules/qms/index.html","1312","script-message","01d8b0945fb28a990ecffb85818928b16e1eb095e9a3d25b1c85b70d34946af4"
"Only SM can lock/unlock.","फक्त स्टोअर मॅनेजर लॉक/अनलॉक करू शकतो.","केवल स्टोर मैनेजर लॉक/अनलॉक कर सकता है।","translate","sagarbora91","3","www/modules/stock/index.html","2533","script-message","140ef9556345745380d17134b74724ecb76fe37137e55f4631060099ae35c46e"
"Please select a firm first.","कृपया प्रथम फर्म निवडा.","कृपया पहले कोई फर्म चुनें।","translate","sagarbora91","3","www/modules/tax/index.html","3270","script-message","856ff9a412d134a226ee1ca7f07c133a9988b2aa2e57a5e2ab30f9b3820ab313"
